Gene	ID	Count
AGPAT2	318	11
AGPAT3	319	18
AGPAT4	320	34
AGPAT5	321	18
AGPAT6	322	11
AGPAT9	323	37
AGPHD1	324	2
AGPS	325	19
AGRN	326	21
AGRP	327	2
AGT	328	4
AGTPBP1	329	24
AGTRAP	330	17
AGXT	331	11
AGXT2	332	11
AGXT2L1	333	5
AGXT2L2	334	8
AHCTF1	335	13
AHCY	336	10
AHCYL1	337	5
AHCYL2	338	31
AHDC1	339	3
AHI1	340	29
AHNAK	341	2
AHNAK2	342	4
AHR	343	18
AHRR	344	32
AHSA1	345	3
AHSA2	346	6
AHSG	347	2
AHSP	348	5
AICDA	349	8
AIDA	350	7
AIF1	351	8
AIF1L	352	2
AIFM1	353	9
AIFM2	354	10
AIFM3	355	130
AIM1L	356	6
AIMP1	357	11
AIMP2	358	11
AIP	359	11
AIPL1	360	7
AIRE	361	10
AJAP1	362	16
AK1	363	4
AK2	364	4
AK3L1	365	34
AK5	366	5
AK6	367	4
AK7	368	8
AKAP1	369	15
AKAP10	370	6
AKAP12	371	17
AKAP13	372	44
AKAP3	373	17
AKAP5	374	4
AKAP6	375	26
AKAP7	376	16
AKAP8	377	1
AKAP8L	378	20
AKIP1	379	6
AKIRIN1	380	2
AKIRIN2	381	8
AKNA	382	14
AKNAD1	383	4
AKR1A1	384	5
AKR1B1	385	7
AKR1D1	386	19
AKR1E2	387	4
AKR7A2	388	5
AKR7A3	389	8
AKT1	390	2
AKT1S1	391	13
AKT2	392	22
AKT3	393	20
AKTIP	394	7
ALAD	395	7
ALAS1	396	5
ALCAM	397	5
ALDH16A1	398	5
ALDH18A1	399	18
ALDH1A2	400	8
ALDH1A3	401	22
ALDH1B1	402	4
ALDH1L1	403	13
ALDH1L2	404	6
ALDH2	405	14
ALDH3A1	406	7
ALDH3A2	407	4
ALDH3B1	408	9
ALDH4A1	409	22
ALDH5A1	410	5
ALDH6A1	411	3
ALDH7A1	412	2
ALDH8A1	413	5
ALDH9A1	414	7
ALDOA	415	5
ALDOB	416	6
ALDOC	417	2
ALG1	418	13
ALG10	419	2
ALG11	420	6
ALG12	421	13
ALG14	422	10
ALG2	423	4
ALG3	424	10
ALG5	425	4
ALG6	426	8
ALG8	427	5
ALG9	428	34
ALK	429	22
ALKBH1	430	3
ALKBH2	431	7
ALKBH3	432	15
ALKBH4	433	7
ALKBH5	434	12
ALKBH6	435	3
ALKBH7	436	1
ALKBH8	437	23
