Gene	ID	Count
NM_001044563	291	9
NM_001044564	292	4
NM_001044565	293	4
NM_001044566	294	53
NM_001044567	295	88
NM_001044569	296	6
NM_001044571	297	7
NM_001044572	298	10
NM_001044574	299	68
NM_001044575	300	3
NM_001044576	301	34
NM_001044577	302	7
NM_001044578	303	6
NM_001044579	304	20
NM_001044580	305	37
NM_001044582	306	9
NM_001044583	307	3
NM_001044584	308	5
NM_001044585	309	11
NM_001044587	310	21
NM_001044588	311	8
NM_001044590	312	27
NM_001044591	313	10
NM_001044592	314	20
NM_001044593	315	7
NM_001044595	316	9
NM_001044596	317	5
NM_001044597	318	15
NM_001044598	319	11
NM_001044600	320	9
NM_001044601	321	105
NM_001044602	322	8
NM_001044603	323	194
NM_001044604	324	34
NM_001044605	325	13
NM_001044606	326	9
NM_001044607	327	64
NM_001044608	328	21
NM_001044609	329	4
NM_001044610	330	11
NM_001044611	331	1
NM_001044612	332	9
NM_001044613	333	11
NM_001044614	334	8
NM_001044615	335	11
NM_001044616	336	7
NM_001044617	337	8
NM_001044619	338	4
NM_001044620	339	4
NM_001044621	340	11
NM_001044622	341	6
NM_001044624	342	13
NM_001045679	343	3
NM_001048069	344	5
NM_001048070	345	26
NM_001048071	346	9
NM_001048072	347	8
NM_001048073	348	8
NM_001048186	349	6
NM_001048187	350	16
NM_001048188	351	12
NM_001048232	352	3
NM_001075117	353	10
NM_001077213	354	6
NM_001077214	355	13
NM_001077215	356	4
NM_001077216	357	14
NM_001077217	358	9
NM_001077218	359	6
NM_001077219	360	10
NM_001077222	361	11
NM_001077223	362	5
NM_001077224	363	15
NM_001077226	364	15
NM_001077227	365	25
NM_001077228	366	1
NM_001077229	367	4
NM_001077230	368	5
NM_001078663	369	17
NM_001078664	370	6
NM_001078666	371	12
NM_001078667	372	18
NM_001078668	373	4
NM_001078669	374	19
NM_001078670	375	14
NM_001078671	376	29
NM_001078672	377	41
NM_001078673	378	1
NM_001078675	379	15
NM_001078676	380	15
NM_001078677	381	3
NM_001078678	382	8
NM_001078680	383	6
NM_001078681	384	9
NM_001078685	385	20
NM_001078688	386	5
NM_001080206	387	14
NM_001083930	388	12
NM_001083931	389	11
NM_001083932	390	39
NM_001083941	391	22
NM_001085443	392	44
NM_001093735	393	5
NM_001097412	394	11
NM_001097413	395	13
NM_001097414	396	10
NM_001097416	397	33
NM_001097417	398	4
NM_001097418	399	7
NM_001097419	400	15
NM_001097420	401	5
NM_001097422	402	7
NM_001097423	403	2
NM_001097424	404	12
NM_001097425	405	31
NM_001097426	406	6
NM_001097427	407	29
NM_001097428	408	4
NM_001097429	409	7
NM_001097430	410	6
NM_001097431	411	28
NM_001097432	412	7
NM_001097433	413	15
NM_001097435	414	6
NM_001097436	415	8
NM_001097437	416	16
NM_001097438	417	5
NM_001097439	418	26
NM_001097440	419	8
NM_001097442	420	45
NM_001097443	421	11
NM_001097444	422	11
NM_001097445	423	7
NM_001097446	424	5
NM_001097447	425	14
NM_001097448	426	6
NM_001097449	427	17
NM_001097450	428	4
NM_001097451	429	32
NM_001097452	430	2
NM_001097454	431	12
NM_001097457	432	33
NM_001097458	433	13
NM_001097459	434	3
NM_001097461	435	13
NM_001097462	436	2
NM_001097463	437	10
NM_001097464	438	6
NM_001097465	439	8
NM_001097466	440	4
NM_001097467	441	10
NM_001097468	442	10
NM_001097469	443	7
NM_001097470	444	11
NM_001097471	445	8
NM_001097473	446	9
NM_001097474	447	1
NM_001097475	448	9
NM_001097476	449	20
NM_001097477	450	10
NM_001097478	451	2
NM_001097479	452	4
NM_001097480	453	4
NM_001097481	454	1
NM_001097482	455	5
NM_001097483	456	15
NM_001097484	457	5
NM_001097486	458	6
NM_001097487	459	9
NM_001097488	460	9
NM_001097489	461	9
NM_001097490	462	12
NM_001097492	463	3
NM_001097493	464	16
NM_001097494	465	50
NM_001097495	466	11
NM_001097497	467	11
NM_001097498	468	10
NM_001097499	469	28
NM_001097500	470	66
NM_001097501	471	9
NM_001097504	472	10
NM_001097505	473	8
NM_001097506	474	1
NM_001097507	475	23
NM_001097508	476	11
NM_001097510	477	3
NM_001097511	478	2
NM_001097512	479	31
NM_001097513	480	12
NM_001097514	481	1
NM_001097515	482	55
NM_001097516	483	30
NM_001097517	484	11
NM_001097518	485	33
NM_001097519	486	4
NM_001097520	487	6
NM_001097521	488	10
NM_001097522	489	8
NM_001098580	490	7
NM_001098582	491	15
NM_001098583	492	12
NM_001098585	493	31
NM_001098588	494	9
NM_001098589	495	11
NM_001098590	496	4
NM_001098591	497	32
NM_001098592	498	5
NM_001098593	499	9
NM_001098594	500	11
NM_001098595	501	19
NM_001098596	502	12
NM_001098597	503	11
NM_001098598	504	6
NM_001098599	505	8
NM_001098600	506	81
NM_001098602	507	10
NM_001098603	508	11
NM_001098604	509	54
NM_001098605	510	4
NM_001099923	511	1
NM_001099924	512	39
NM_001099925	513	5
NM_001099926	514	48
NM_001099927	515	5
NM_001099928	516	61
NM_001099929	517	5
NM_001099930	518	9
NM_001099931	519	17
NM_001099932	520	9
NM_001099933	521	5
NM_001099935	522	43
NM_001099936	523	7
NM_001099937	524	11
NM_001099938	525	4
NM_001099939	526	8
NM_001099941	527	2
NM_001100189	528	30
NM_001100190	529	10
NM_001100191	530	23
NM_001100192	531	15
NM_001100193	532	16
NM_001100194	533	7
NM_001100195	534	9
NM_001100196	535	3
NM_001101025	536	7
NM_001101026	537	6
NM_001101027	538	5
NM_001101028	539	13
NM_001101029	540	7
NM_001101030	541	6
NM_001101031	542	2
NM_001101032	543	16
NM_001101033	544	7
NM_001101814	545	10
NM_001101815	546	5
NM_001101816	547	7
NM_001101817	548	9
NM_001101818	549	9
NM_001101819	550	3
NM_001101820	551	8
NM_001101821	552	7
NM_001101822	553	6
NM_001101823	554	20
NM_001101824	555	4
NM_001101825	556	6
NM_001101826	557	5
NM_001101827	558	2
NM_001102473	559	6
NM_001102680	560	9
NM_001103210	561	3
NM_001103211	562	1
NM_001103212	563	4
NM_001103213	564	7
NM_001104950	565	3
NM_001104951	566	94
NM_001104952	567	7
NM_001104953	568	19
NM_001104955	569	6
NM_001104956	570	26
NM_001105053	571	6
NM_001105054	572	6
NM_001105286	573	5
NM_001105287	574	6
NM_001105288	575	21
NM_001105289	576	10
NM_001105290	577	87
NM_001105291	578	12
NM_001105293	579	4
NM_001105294	580	11
NM_001105296	581	25
NM_001105298	582	22
NM_001105300	583	6
NM_001105301	584	6
NM_001105302	585	11
NM_001105303	586	5
NM_001105304	587	2
NM_001105305	588	9
NM_001105306	589	2
NM_001105308	590	7
NM_001105309	591	7
NM_001105310	592	5
NM_001105311	593	1
NM_001105312	594	18
NM_001105313	595	14
NM_001105314	596	10
NM_001109944	597	16
NM_001109945	598	52
NM_001109946	599	29
NM_001109947	600	14
NM_001110057	601	66
NM_001110058	602	9
NM_001110171	603	41
NM_001110172	604	8
NM_001110173	605	13
NM_001110174	606	17
NM_001110175	607	51
NM_001110176	608	124
NM_001110419	609	6
NM_001110420	610	7
NM_001110421	611	14
NM_001110423	612	8
NM_001110424	613	6
NM_001110425	614	8
NM_001110426	615	9
NM_001110427	616	8
NM_001110428	617	12
NM_001110429	618	5
NM_001110430	619	12
NM_001110431	620	25
NM_001110432	621	51
NM_001111257	622	14
NM_001112676	623	3
NM_001112677	624	4
NM_001112678	625	7
NM_001112680	626	5
NM_001112681	627	21
NM_001112682	628	8
NM_001112683	629	1
NM_001112685	630	13
NM_001112686	631	29
NM_001112687	632	14
NM_001112688	633	10
NM_001112689	634	5
NM_001112692	635	52
NM_001112693	636	12
NM_001112694	637	11
NM_001112695	638	13
NM_001112696	639	10
NM_001113013	640	11
NM_001113015	641	7
NM_001113017	642	16
NM_001113039	643	1
NM_001113041	644	12
NM_001113047	645	15
NM_001113049	646	4
NM_001113053	647	14
NM_001113055	648	40
NM_001113057	649	11
NM_001113060	650	8
NM_001113062	651	4
NM_001113064	652	1
NM_001113219	653	7
NM_001113220	654	19
NM_001113286	655	26
NM_001113287	656	14
NM_001113288	657	2
NM_001113435	658	27
NM_001113436	659	17
